false;Setting the mode to its current value must have no effect on irrigation. ; Users must be able to set the mode. 
false;If a sensor cannot be read after three tries when AquaLush is irrigating that sensor's zone, then AquaLush must close all valves in that zone and continue the irrigation cycle as if that sensor had indicated that the zone had reached its critical moisture level. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; If a sensor cannot be read after three tries when AquaLush is irrigating that sensor's zone, then AquaLush must close all valves in that zone and continue the irrigation cycle as if that sensor had indicated that the zone had reached its critical moisture level. 
false;If a sensor cannot be read after three tries when AquaLush is irrigating that sensor's zone, then AquaLush must close all valves in that zone and continue the irrigation cycle as if that sensor had indicated that the zone had reached its critical moisture level. ; Every minute, AquaLush must read the zone sensor. 
false;If a valve can be manipulated within three tries, then AquaLush must ignore the error. ; If a valve cannot be manipulated (opened or closed), then AquaLush must try to manipulate it twice more. 
false;If a valve cannot be manipulated after three tries in manual-mode operation, then AquaLush must alert the user that the valve has failed. ; If a valve cannot be manipulated (opened or closed), then AquaLush must try to manipulate it twice more. 
false;If AquaLush cannot read its persistent store it must alert the user of the problem ; If AquaLush cannot write to its persistent store, then it must alert the user of the problem and continue operation. 
false;AquaLush must provide reports of failed valves and sensors when requested to do so by the user. ; AquaLush must detect valve and sensor failures. 
false;If no valves have failed, then AquaLush must report that there are no valve failures. ; If no sensors have failed, then AquaLush must report that there are no sensor failures. 
false;If valves or sensors have failed, then AquaLush must report for each failed valve and sensor:.- The valve or sensor identifier.- The valve or sensor location ; AquaLush must provide reports of failed valves and sensors when requested to do so by the user. 
false;When told that a failed valve or sensor is repaired, AquaLush must update its persistent store with this information. ; AquaLush must allow users to indicate that failed valves and sensors have been repaired. 
false;When told that a failed valve or sensor is repaired, AquaLush must begin using the repaired valve or sensor in irrigation immediately. ; AquaLush must allow users to indicate that failed valves and sensors have been repaired. 
false;When it starts, AquaLush must first read its configuration file from persistent store to establish its configuration. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;After starting, AquaLush must close all valves. ; AquaLush must make no attempt to resume an irrigation operation that may have been in progress when it was shut down. 
false;The simulation must provide a representation of a site with irrigation zones. ; Each simulated irrigation zone must simulate a sensor and display the simulated sensor's moisture level. 
false;The simulation must display the simulated time and provide a means for setting the simulated time. ; The simulation must provide means for controlling the simulation. 
false;The simulation must provide controls to change the simulation speed (that is, speed up or slow down the simulated time). ; The simulation must provide means for controlling the simulation. 
false;The simulation must provide controls to alter the failure status of valves and sensors. ; The simulation must provide means for controlling the simulation. 
true;Each irrigation zone must have exactly one moisture sensor. ; The irrigated site must be divided into 1 to 32 irrigation zones. 
true;Each irrigation zone must have 1 to 32 irrigation valves. ; The irrigated site must be divided into 1 to 32 irrigation zones. 
true;The zone's critical moisture level must be an integer in the range 0..100 interpreted as a percent of saturation. ; AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. 
true;A sensor identifier must consist of the letter 'S' (upper- or lowercase) followed by a unique integer in the range 0..999. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
true;A sensor location must be a string of 0 to 24 characters not containing angle brackets. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
true;"The operational status must be a Boolean value interpreted as the truth value of the statement ""This sensor is working."" "; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
true;A valve identifier must consist of the letter 'V' (upper- or lowercase) followed by a unique integer in the range 0..999. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
true;A valve type must be a string of 0 to 16 characters not containing angle brackets. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
true;A valve location must be a string of 0 to 24 characters not containing angle brackets ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
true;A flow rate must be an integer in the range 1.. 231-1 interpreted as gallons per minute of water flow through the valve. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
true;"The operational status must be a Boolean value interpreted as the truth value of the statement ""This valve is working."" "; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
true;The configuration file must be a text file editable with a standard text editor. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
true;A configuration file must have the form (specified using data definition notation) shown in Figure B-7-1. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
true;"The configuration file must be named ""config.txt"" and must be placed in the same directory as the AquaLush executable program. "; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;A configuration file that cannot be found, opened, read, or parsed must be treated as a persistent store failure. ; If AquaLush cannot read its persistent store when starting up, then it must display an error message and suspend operation. 
false;AquaLush must record its system parameters in persistent store so that its state can be restored at startup. ; After establishing its configuration, AquaLush must read its persistent store to restore its state. 
true;System parameters include the following items: Mode of operation, Irrigation time, Water allocation ; AquaLush must record its system parameters in persistent store so that its state can be restored at startup. 
true;The mode must be either manual or automatic. ; Users must be able to set the mode. 
false;The mode must be either manual or automatic. ; AquaLush must allow operation in either automatic or manual mode. 
true;The irrigation time must specify both the days and the time of day when irrigation is to occur. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
true;The irrigation days must be a subset of {Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday}. ; The irrigation time must specify both the days and the time of day when irrigation is to occur. 
true;The irrigation time of day must be a 24-hour-clock value in the range 0000 to 2359 (accurate to one minute). ; The irrigation time must specify both the days and the time of day when irrigation is to occur. 
true;The water allocation must be an integer in the range 0..2^31-1 interpreted as gallons of water. ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. ; AquaLush must allow users to set the current time. 
false;The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. ; The current time consists of the current day and the current time of day. 
true;The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. ; AquaLush must allow users to set the current time. 
true;The current day must be an element of {Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday}. ; The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. 
true;The current time of day must be a 24-hour-clock value in the rage 0000 to 2359 (accurate to one minute). ; The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. 
false;The following data must be displayed for each valve in manual mode:  Valve identifer,  Valve location, How long the valve has been open, How much water has been used, Associated sensor moisture level ; AquaLush must display the following data for each manually opened valve while it is open:  its identifier, its location, how long it has been open, how much water it has used, the moisture level reported by its associated sensor 
false;The valve identifier and location must be the valve data recorded in the system. ; AquaLush must record its system parameters in persistent store so that its state can be restored at startup. 
false;The following data must be displayed for each valve in manual mode: Valve identifer, Valve location, How long the valve has been open, How much water has been used, Associated sensor moisture level ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
true;The location may be truncated to fit user interface display constraints. ; AquaLush must display the following data for each manually opened valve while it is open: its identifier, its location 
true;The location may be truncated to fit user interface display constraints. ; The following data must be displayed for each valve in manual mode: Valve identifer, Valve location 
true;System parameters include the following items: Mode of operation, Irrigation time, Water allocation ; AquaLush must record its system parameters in persistent store so that its state can be restored at startup. 
true;The length of time the valve has been open must be a military time specification in the form hhmm, where hh must be hours in the range 0..23 and mm must be minutes in the range 0..59. All four digits must always be displayed. ; How long the valve has been open 
true;The length of time the valve has been open must be a military time specification in the form hhmm, where hh must be hours in the range 0..23 and mm must be minutes in the range 0..59. All four digits must always be displayed. ; AquaLush must display the following data for each manually opened valve while it is open: its identifier, its location, how long it has been open 
true;The amount of water used by the valve must be an integer in the range 0..2^31-1 describing the water used in gallons. ; AquaLush must display the following data for each manually opened valve while it is open: its identifier, its location, how long it has been open, how much water it has used 
true;The associated sensor moisture level must be a moisture sensor reading in the range 0..100. ; the moisture level reported by its associated sensor 
true;The amount of water used by the valve must be an integer in the range 0..2^31-1 describing the water used in gallons. ; How much water has been used 
true;The associated sensor moisture level must be a moisture sensor reading in the range 0..100. ; Associated sensor moisture level 
true;The total water used during manual irrigation must also be displayed. This value must be an integer in the range 0..2^31-1 describing the water used in gallons. ; AquaLush must display the total water used in manual irrigation. 
true;Each displayed value must be updated every minute or when a valve is opened. ; The following data must be displayed for each valve in manual mode.
true;The failed sensor or valve identifier ; If a sensor cannot be read after three tries in manual-mode operation, then AquaLush must alert the user that the sensor has failed. 
true;The failed sensor or valve location ; If a sensor cannot be read after three tries in manual-mode operation, then AquaLush must alert the user that the sensor has failed. 
true;The failed sensor or valve location ; If a valve cannot be manipulated after three tries in manual-mode operation, then AquaLush must alert the user that the valve has failed. 
true;The failed sensor or valve identifier ; If a valve cannot be manipulated after three tries in manual-mode operation, then AquaLush must alert the user that the valve has failed. 
true;The simulated time consists of the simulated day and the simulated time of day. ; The simulation must display the simulated time and provide a means for setting the simulated time. 
true;The simulated day must be an element of {Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday}. ; The simulated time consists of the simulated day and the simulated time of day. 
true;The simulated time of day must be a 24-hour-clock value in the range 0000 to 2359 (accurate to one minute). ; The simulated time consists of the simulated day and the simulated time of day. 
true;The simulation speed must be a multiple of the real rate of time specified as an integer multiplier in the range 1..1000. ; The simulation must provide controls to change the simulation speed (that is, speed up or slow down the simulated time). 
true;The simulated water evaporation rate must be an integer in the range 0..100 interpreted as the percent change in moisture level per day (as refiected in the simulated moisture sensor reading). ; The simulation must provide controls to alter the simulated water evaporation rate. 
true;AquaLush software must be configurable in no more than 1 minute per irrigation valve after no more than 30 minutes of reading the instruction manual. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
true;The AquaLush simulation must be installable on a Web site in no more than one hour. ; The Web-based AquaLush simulation must represent all operational and maintenance features of the delivered product. 
false;Sensor failures must be detectable when a sensor is read. ; AquaLush must detect valve and sensor failures. 
false;Valve failures must be detectable when a valve is manipulated. ; AquaLush must detect valve and sensor failures. 
false;Valves must be openable and closable. ; In manual-mode operation, AquaLush must allow users to select non-empty sets of (working) valves and direct that they be opened or closed. 
false;Sensors must be readable and provide data convertible to a percent of saturation value. ; AquaLush must read the working sensor in each zone 
false;Sensors must be readable and provide data convertible to a percent of saturation value. ; Every minute, AquaLush must read the zone sensor. 
false;Sensor failures must be detectable when a sensor is read. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;Valve failures must be detectable when a valve is manipulated. ; If a valve cannot be manipulated (opened or closed), then AquaLush must try to manipulate it twice more. 
true;The AquaLush central control panel must be based on ATM machine technology. ; AquaLush must be operated from a single central control panel. 
false;Most screens must present a menu selection or ask the user to fill in values as a result of a menu selection. ; The control panel must have a menu-based textual user interface. 
false;Setting the mode to its current value must have no effect on irrigation. ; The control panel must have a menu-based textual user interface. 
false;Setting the mode to its current value must have no effect on irrigation. ; AquaLush must allow users to indicate that failed valves and sensors have been repaired. 
false;Setting the mode to its current value must have no effect on irrigation. ; If a valve cannot be manipulated (opened or closed), then AquaLush must try to manipulate it twice more. 
false;Setting the mode to its current value must have no effect on irrigation. ; AquaLush must allow users to set the current time. 
false;Setting the mode to its current value must have no effect on irrigation. ; Every minute, AquaLush must read the zone sensor. 
false;Setting the mode to its current value must have no effect on irrigation. ; If a valve cannot be manipulated after three tries in manual-mode operation, then AquaLush must alert the user that the valve has failed. 
false;Setting the mode to its current value must have no effect on irrigation. ; The Web-based AquaLush simulation must represent all operational and maintenance features of the delivered product. 
false;Setting the mode to its current value must have no effect on irrigation. ; AquaLush must display the following data for each manually opened valve while it is open: its identifier, its location, how long it has been open, how much water it has used 
false;Setting the mode to its current value must have no effect on irrigation. ; Associated sensor moisture level 
false;Setting the mode to its current value must have no effect on irrigation. ; In automatic-mode operation, AquaLush must conduct an irrigation cycle by irrigating one irrigation zone at a time and successively irrigating each zone until all have been irrigated. 
false;Setting the mode to a different value must result in AquaLush closing all valves. ; Users must be able to set the mode. 
false;Setting the mode to a different value must result in AquaLush closing all valves. ; The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. 
false;Setting the mode to a different value must result in AquaLush closing all valves. ; If a valve cannot be manipulated (opened or closed), then AquaLush must try to manipulate it twice more. 
false;Setting the mode to a different value must result in AquaLush closing all valves. ; Users must be able to set the mode. 
false;Setting the mode to a different value must result in AquaLush closing all valves. ; AquaLush must provide reports of failed valves and sensors when requested to do so by the user. 
false;Setting the mode to a different value must result in AquaLush closing all valves. ; The current time consists of the current day and the current time of day. 
false;Setting the mode to a different value must result in AquaLush closing all valves. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;Setting the mode to a different value must result in AquaLush closing all valves. ; AquaLush must allow users to indicate that failed valves and sensors have been repaired. 
false;Setting the mode to a different value must result in AquaLush closing all valves. ; The following data must be displayed for each valve in manual mode: Valve identifer, Valve location 
false;Setting the mode to a different value must result in AquaLush closing all valves. ; If a valve cannot be manipulated (opened or closed), then AquaLush must try to manipulate it twice more. 
false;AquaLush must display the current mode to the user after the user sets the mode. ; Users must be able to set the mode. 
false;AquaLush must display the current mode to the user after the user sets the mode. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;AquaLush must display the current mode to the user after the user sets the mode. ; The irrigation time must specify both the days and the time of day when irrigation is to occur. 
false;AquaLush must display the current mode to the user after the user sets the mode. ; The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. 
false;AquaLush must display the current mode to the user after the user sets the mode. ; AquaLush must either not allow an invalid time setting or validate the new time setting. 
false;AquaLush must display the current mode to the user after the user sets the mode. ; The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. 
false;AquaLush must display the current mode to the user after the user sets the mode. ; If a sensor cannot be read after three tries in manual-mode operation, then AquaLush must alert the user that the sensor has failed. 
false;AquaLush must display the current mode to the user after the user sets the mode. ; AquaLush must be operated from a single central control panel. 
false;AquaLush must display the current mode to the user after the user sets the mode. ; If a valve cannot be manipulated after three tries in manual-mode operation, then AquaLush must alert the user that the valve has failed. 
false;AquaLush must display the current mode to the user after the user sets the mode. ; Users must be able to set the mode. 
false;The current time consists of the current day and the current time of day. ; AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. 
false;The current time consists of the current day and the current time of day. ; AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. 
false;The current time consists of the current day and the current time of day. ; The irrigation time must specify both the days and the time of day when irrigation is to occur. 
false;The current time consists of the current day and the current time of day. ; AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. 
false;The current time consists of the current day and the current time of day. ; Users must be able to set the mode. 
false;The current time consists of the current day and the current time of day. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;The current time consists of the current day and the current time of day. ; The following data must be displayed for each valve in manual mode: Valve identifer, Valve location 
false;The current time consists of the current day and the current time of day. ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;The current time consists of the current day and the current time of day. ; If a zone's zone allocation is reached, then AquaLush must close all valves in the zone and go to the next zone. 
false;The current time consists of the current day and the current time of day. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;AquaLush must either not allow an invalid time setting or validate the new time setting. ; The simulation must display the simulated time and provide a means for setting the simulated time. 
false;AquaLush must either not allow an invalid time setting or validate the new time setting. ; AquaLush must display the following data for each manually opened valve while it is open: its identifier, its location, how long it has been open, how much water it has used 
false;AquaLush must either not allow an invalid time setting or validate the new time setting. ; AquaLush must either not allow an invalid time setting or validate the new time setting. 
false;AquaLush must either not allow an invalid time setting or validate the new time setting. ; The following data must be displayed for each valve in manual mode.
false;AquaLush must either not allow an invalid time setting or validate the new time setting. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;AquaLush must either not allow an invalid time setting or validate the new time setting. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;AquaLush must either not allow an invalid time setting or validate the new time setting. ; Every minute, AquaLush must read the zone sensor. 
false;AquaLush must either not allow an invalid time setting or validate the new time setting. ; AquaLush must record its system parameters in persistent store so that its state can be restored at startup. 
false;AquaLush must either not allow an invalid time setting or validate the new time setting. ; AquaLush must display the following data for each manually opened valve while it is open: its identifier, its location 
false;AquaLush must either not allow an invalid time setting or validate the new time setting. ; The simulated time consists of the simulated day and the simulated time of day. 
false;If a new time setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; The irrigated site must be divided into 1 to 32 irrigation zones. 
false;If a new time setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must either not allow an invalid water allocation setting or validate the new water allocation setting. 
false;If a new time setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; If a zone's zone allocation is reached, then AquaLush must close all valves in the zone and go to the next zone. 
false;If a new time setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must allow users to set the current time. 
false;If a new time setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;If a new time setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must detect valve and sensor failures. 
false;If a new time setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; If a sensor cannot be read after three tries when AquaLush is irrigating that sensor's zone, then AquaLush must close all valves in that zone and continue the irrigation cycle as if that sensor had indicated that the zone had reached its critical moisture level. 
false;If a new time setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. 
false;If a new time setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;If a new time setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; The simulated time consists of the simulated day and the simulated time of day. 
false;AquaLush must display a reset current time to the user. ; AquaLush must count the working valves in the active zones and divide the water allocation by this count to get a valve allocation. 
false;AquaLush must display a reset current time to the user. ; If AquaLush cannot write to its persistent store, then it must alert the user of the problem and continue operation. 
false;AquaLush must display a reset current time to the user. ; If AquaLush cannot read its persistent store when starting up, then it must display an error message and suspend operation. 
false;AquaLush must display a reset current time to the user. ; AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. 
false;AquaLush must display a reset current time to the user. ; If a zone's zone allocation is reached, then AquaLush must close all valves in the zone and go to the next zone. 
false;AquaLush must display a reset current time to the user. ; AquaLush must either not allow an invalid irrigation time setting or validate the new irrigation time setting. 
false;AquaLush must display a reset current time to the user. ; AquaLush must display the following data for each manually opened valve while it is open: its identifier, its location 
false;AquaLush must display a reset current time to the user. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;AquaLush must display a reset current time to the user. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;AquaLush must display a reset current time to the user. ; AquaLush must detect valve and sensor failures. 
false;If the current time is set so that an irrigation time is skipped, then AquaLush must wait for the next irrigation time. In other words, AquaLush makes no attempt to detect and react to irrigation times skipped as a result of a time setting. ; AquaLush must allow users to indicate that failed valves and sensors have been repaired. 
false;If the current time is set so that an irrigation time is skipped, then AquaLush must wait for the next irrigation time. In other words, AquaLush makes no attempt to detect and react to irrigation times skipped as a result of a time setting. ; How much water has been used 
false;If the current time is set so that an irrigation time is skipped, then AquaLush must wait for the next irrigation time. In other words, AquaLush makes no attempt to detect and react to irrigation times skipped as a result of a time setting. ; AquaLush must allow users to indicate that failed valves and sensors have been repaired. 
false;If the current time is set so that an irrigation time is skipped, then AquaLush must wait for the next irrigation time. In other words, AquaLush makes no attempt to detect and react to irrigation times skipped as a result of a time setting. ; AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. 
false;If the current time is set so that an irrigation time is skipped, then AquaLush must wait for the next irrigation time. In other words, AquaLush makes no attempt to detect and react to irrigation times skipped as a result of a time setting. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;If the current time is set so that an irrigation time is skipped, then AquaLush must wait for the next irrigation time. In other words, AquaLush makes no attempt to detect and react to irrigation times skipped as a result of a time setting. ; AquaLush must run in one of two modes: manual or automatic. 
false;If the current time is set so that an irrigation time is skipped, then AquaLush must wait for the next irrigation time. In other words, AquaLush makes no attempt to detect and react to irrigation times skipped as a result of a time setting. ; AquaLush must allow users to indicate that failed valves and sensors have been repaired. 
false;If the current time is set so that an irrigation time is skipped, then AquaLush must wait for the next irrigation time. In other words, AquaLush makes no attempt to detect and react to irrigation times skipped as a result of a time setting. ; AquaLush must make no attempt to resume an irrigation operation that may have been in progress when it was shut down. 
false;If the current time is set so that an irrigation time is skipped, then AquaLush must wait for the next irrigation time. In other words, AquaLush makes no attempt to detect and react to irrigation times skipped as a result of a time setting. ; AquaLush must display the following data for each manually opened valve while it is open: its identifier, its location, how long it has been open, how much water it has used 
false;If the current time is set so that an irrigation time is skipped, then AquaLush must wait for the next irrigation time. In other words, AquaLush makes no attempt to detect and react to irrigation times skipped as a result of a time setting. ; The simulation must provide means for controlling the simulation. 
false;AquaLush must either not allow an invalid irrigation time setting or validate the new irrigation time setting. ; In automatic-mode operation, AquaLush must conduct an irrigation cycle by irrigating one irrigation zone at a time and successively irrigating each zone until all have been irrigated. 
false;AquaLush must either not allow an invalid irrigation time setting or validate the new irrigation time setting. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;AquaLush must either not allow an invalid irrigation time setting or validate the new irrigation time setting. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
